	DPV0_47	DPV0_48	DPV0_49	DPV0_50	DPV3_47	DPV3_48	DPV3_49	DPV3_50	DPI3_47	DPI3_48	DPI3_49	DPI3_50	DPI6_47	DPI6_48	DPI6_49	DPI6_50	DPI9_47	DPI9_48	DPI9_49	DPI9_50	DPI14_48	DPI14_49	DPI14_50	DPI21_48	DPI21_49	DPI21_50	DPI42_48	DPI42_49	DPI42_50
AC015802.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1
AC068987.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ACADSB	0	0	0	0	0	0	1	0	5	2	0	0	5	3	2	2	5	0	0	0	0	1	0	0	0	0	0	0	0
ACCSL	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	1	12	0	3	0	0	3	0	1	1	1	0	0	0
ACE2	0	0	1	0	0	0	0	0	2	0	0	0	13	0	3	0	2	0	0	0	0	1	0	0	2	0	0	0	1
ACER1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	7	0	2	0	1	2	1	0	0	0	1	0	3
ACOT6	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ACSL1	0	1	1	1	2	0	14	23	142	20	1	4	6	8	5	8	5	0	5	3	0	2	1	0	0	0	0	0	1
ACSL4	0	2	0	0	2	0	9	6	80	33	0	2	11	3	1	1	5	0	1	1	2	3	0	0	0	1	0	0	1
ACSM2B	0	0	2	0	2	0	2	0	2	0	0	0	17	0	8	1	27	0	3	0	0	1	0	0	0	0	0	0	0
ACSM5	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	8	0	1	0	3	0	2	0	0	0	0	0	0
ACTL7A	0	0	1	0	0	1	2	0	0	0	0	3	0	0	0	0	0	3	9	8	0	1	2	0	1	1	0	3	6
ADAMTSL3	0	0	0	0	3	0	2	0	0	0	0	2	9	1	4	1	12	0	2	0	3	0	1	0	0	0	0	0	1
ADCY1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1
ADCYAP1	2	0	3	0	0	0	1	1	1	4	2	1	27	1	21	4	86	0	14	2	1	4	0	1	1	0	0	0	2
ADGRB3	0	0	0	0	0	0	0	0	3	0	0	2	11	0	4	0	3	0	3	0	1	0	0	0	0	0	0	0	0
ADGRG4	5	0	0	3	0	0	9	3	0	1	1	4	30	9	19	21	51	0	3	1	4	2	0	0	0	0	1	0	0
ADSL	0	0	0	0	0	0	4	0	3	1	0	0	4	0	0	1	11	0	1	2	0	4	1	0	0	0	0	0	1
AGBL1	0	0	0	0	0	1	0	0	4	0	1	0	4	0	2	2	24	0	5	0	1	5	0	0	0	1	0	0	0
AIFM1	12	25	36	29	28	13	35	31	15	8	47	29	18	7	17	10	269	11	59	29	13	92	56	36	51	31	39	48	104
AIG1	0	0	0	0	0	0	1	1	3	0	0	0	6	0	2	0	5	0	1	0	0	0	0	0	0	0	0	0	0
AIM2	7	8	24	11	8	2	57	59	306	72	6	9	18	8	18	10	7	3	13	13	1	8	13	3	5	5	1	13	27
AIMP1	0	0	1	0	0	0	5	4	36	6	0	0	1	0	0	0	1	0	1	4	0	0	0	1	0	1	1	0	0
AKAP4	0	0	0	0	0	0	0	0	0	0	1	0	7	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0
AKR7A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0
AL022238.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0
AL031847.2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1
AL136454.1	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ALDH3A2	0	0	0	0	1	0	2	6	35	6	6	0	4	1	1	1	1	0	1	0	0	3	1	1	1	0	0	1	0
ALDH7A1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ALG13	0	1	0	0	0	1	2	0	4	4	0	1	12	4	4	5	21	2	3	2	0	0	0	0	1	0	0	0	0
ALOX5AP	0	0	0	0	0	0	1	2	7	1	1	0	0	0	0	1	8	0	1	0	0	0	3	0	0	0	0	0	0
AMACR	0	0	0	0	4	0	4	0	0	0	1	0	11	2	7	1	18	1	3	1	2	0	2	1	0	0	0	0	0
AMBRA1	1	2	0	0	3	1	9	2	0	6	0	1	19	1	3	1	22	1	9	2	0	7	1	0	1	3	0	1	0
AMIGO2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANGPTL2	1	3	3	3	12	1	9	8	4	4	0	2	2	0	6	5	6	1	6	6	2	4	6	2	9	8	2	9	22
ANKRD45	0	2	0	1	1	1	3	6	1	0	0	0	12	0	4	0	30	0	5	0	0	3	6	0	0	4	0	2	2
ANKRD62	0	0	1	0	3	0	2	2	51	16	0	0	3	4	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0
ANKS4B	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	11	0	0	1	0	0	0	0	0	0	0	0	0
ANO4	1	0	0	0	3	0	2	1	1	1	3	1	7	1	2	0	9	0	3	2	0	2	0	0	0	0	0	0	0
ANXA3	0	0	0	0	2	1	14	5	93	9	8	3	6	4	4	0	5	1	1	0	0	2	0	2	1	0	0	3	2
AP002495.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
APOBEC3A	0	0	0	0	3	1	8	12	5	0	1	0	1	0	3	0	9	0	3	0	0	2	0	0	0	0	0	0	0
APOH.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
APOL2	0	1	1	2	0	3	30	37	127	57	11	13	2	3	6	2	6	0	10	3	0	4	2	0	1	0	2	5	0
ARFGAP2	3	4	6	6	3	1	4	3	3	1	4	3	0	1	1	4	1	4	13	18	0	6	0	1	5	1	1	4	10
ARHGEF10	0	0	0	0	0	0	0	0	0	1	0	0	4	0	2	1	1	0	1	0	0	5	0	0	0	0	0	0	0
ARHGEF40	10	7	9	15	8	3	4	7	0	1	7	0	4	0	1	3	14	1	5	1	6	11	4	10	7	5	6	14	21
ARHGEF9	1	0	0	0	2	0	4	0	0	3	1	2	26	5	11	6	41	2	11	4	0	1	0	0	0	0	0	1	2
ARID1B	0	1	4	0	0	2	11	6	2	0	5	1	33	1	4	4	34	0	11	2	2	9	0	1	3	0	2	1	2
ARL6IP5	0	0	0	0	0	1	6	12	54	12	0	1	1	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0
ARMC2	0	0	0	0	2	0	0	1	0	5	1	0	8	4	11	3	5	0	3	0	0	6	1	0	0	0	0	2	2
ARMCX5	0	0	0	0	0	0	0	1	2	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ARMS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ARPC5L	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARSH	0	0	1	0	0	0	0	0	3	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0
ASTL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0
ATF2	0	1	1	0	0	0	3	3	24	9	3	1	7	2	2	1	2	0	3	0	0	0	0	1	1	0	0	0	0
ATG3	0	0	0	0	1	1	15	26	160	41	3	2	2	5	5	5	1	0	2	6	0	1	1	0	3	3	0	2	8
ATP13A2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	3	3	1	4	1	0	0	0	2	1	1
ATP1B4	0	0	2	0	1	1	0	1	0	1	1	0	18	1	4	0	23	1	9	0	1	4	2	0	3	2	0	1	3
ATP5MF	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
ATP5PB	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5PO	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP6AP1L	0	0	0	0	0	0	1	2	1	0	0	0	2	0	3	2	17	0	3	0	1	2	0	0	0	0	0	0	0
ATP6V1D	0	0	0	0	0	0	3	4	14	5	0	0	6	0	0	0	2	1	1	2	0	1	2	2	2	0	1	2	2
ATPAF1	0	0	2	1	1	0	2	4	13	0	1	0	12	3	7	3	9	0	2	2	1	5	1	1	1	0	0	0	0
B2M	6	9	0	0	1	0	267	305	1520	617	6	17	18	39	9	2	2	1	7	18	0	1	16	5	1	5	0	7	3
B3GALT1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
B3GALT5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
B3GNT5	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0
B3GNT9	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	2
B4GALT5	0	0	1	0	1	0	4	4	3	3	2	0	9	0	3	1	23	1	7	0	0	3	0	0	0	0	0	0	0
B4GAT1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BCDIN3D	7	7	14	24	8	6	18	19	2	0	25	14	0	0	8	5	186	2	47	18	5	23	17	15	25	13	17	24	61
BCL10	0	0	0	0	3	1	0	0	12	2	0	0	11	2	1	0	10	0	4	1	0	4	1	0	0	0	0	0	2
BCL2A1	0	0	0	0	0	0	5	10	94	10	4	0	3	2	2	1	0	0	2	0	0	0	0	0	2	0	0	0	0
BCL2L15	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
BEND2	0	0	0	0	0	0	2	0	0	0	0	0	8	0	0	0	11	0	2	0	1	0	0	0	0	0	0	0	0
BEST2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0
BEX1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4
BEX3	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHLHB9	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
BICC1	0	0	0	0	0	0	0	0	0	0	1	0	11	0	4	0	8	0	2	3	1	2	0	0	0	0	0	1	1
BLOC1S6	10	13	13	23	18	4	35	27	8	7	39	12	6	6	12	13	148	13	39	33	11	35	26	21	21	23	16	35	60
BPIFA2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRS3	0	0	0	0	2	0	1	1	0	0	0	0	2	0	0	0	8	0	1	1	0	2	1	0	0	0	0	1	0
BSND	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
BTAF1	0	2	1	0	1	0	19	15	28	19	5	4	32	3	5	3	19	1	6	3	1	2	2	3	1	2	1	3	1
BTBD19	6	0	8	6	14	5	12	14	4	4	23	21	439	29	264	54	1166	9	352	16	5	17	5	3	0	3	1	2	8
BTBD7	0	0	3	0	0	1	3	3	9	8	1	0	21	1	2	0	4	0	7	0	1	6	1	1	0	1	0	0	2
BTD	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	1	2	1	3	0	0	0	0	0	1	0	0	1	1
BTF3.2	0	0	0	0	0	0	0	2	12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTLA	0	1	1	0	0	0	2	0	3	11	1	2	14	3	3	3	10	2	3	0	0	1	1	0	0	0	1	0	0
BVES	0	0	0	0	0	0	0	1	0	0	0	1	3	2	4	3	2	0	4	1	1	1	0	0	0	1	0	0	0
BX276092.9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
C10orf82	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	11	1	2	1	0	1	0	0	1	0	0	0	0
C10orf88	0	0	1	0	0	0	1	1	9	3	0	0	12	2	6	2	10	0	6	1	1	2	2	0	0	1	1	2	3
C11orf1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
C11orf16	0	0	0	0	0	0	0	1	0	0	0	1	4	0	1	0	0	1	2	3	0	2	0	1	1	0	0	1	5
C12orf45	0	0	0	0	0	0	0	0	5	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C12orf66	0	0	0	1	0	0	0	0	1	0	0	0	3	0	4	0	19	0	4	0	0	2	0	0	0	0	1	2	0
C14orf39	0	0	0	0	0	0	0	0	0	0	0	0	13	1	4	1	5	0	0	1	0	2	0	0	0	0	0	0	0
C16orf91	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0
C17orf47	0	0	2	0	2	1	4	1	1	2	0	0	11	2	5	0	15	0	0	1	0	3	0	1	1	0	2	2	3
C17orf64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0
C17orf75	0	0	0	0	3	1	0	2	0	1	0	1	8	6	4	3	9	0	3	1	0	1	0	0	2	0	0	0	5
C1D	0	0	0	0	0	0	0	0	2	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf162	0	0	1	0	0	0	4	3	15	4	0	0	7	0	1	0	8	0	2	0	0	2	0	0	0	0	0	0	0
C1orf54	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	2	14	0	1	0	0	1	0	0	0	0	0	0	0
C1orf56	582	280	995	952	1220	264	737	634	2999	1189	1079	623	33	710	1266	969	46	329	933	1029	178	535	725	579	1077	669	570	1202	1684
C1QTNF3	1	0	0	0	0	0	0	1	1	0	0	0	7	0	3	0	15	0	2	1	0	1	0	0	0	0	0	0	0
C2orf91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
C2orf92	0	0	0	1	0	0	1	0	0	0	0	0	5	0	1	0	4	0	0	0	0	0	1	0	0	0	0	0	0
C3orf33	1	0	3	1	4	0	6	3	5	3	3	0	0	0	1	2	26	0	5	1	0	20	3	4	12	2	4	17	21
C4orf19	0	0	1	0	0	0	1	0	0	0	0	0	12	2	5	0	19	0	5	0	1	3	0	0	0	0	0	0	1
C4orf47	0	0	0	0	0	0	0	1	4	0	0	0	4	1	3	1	10	0	1	0	1	1	1	1	0	2	0	0	6
C5orf67	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
C6orf163	0	0	0	0	0	0	2	1	0	0	0	0	10	0	1	1	2	0	1	2	0	0	0	0	0	0	0	0	0
C6orf203	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf58	0	0	0	0	1	0	0	0	2	0	0	0	5	0	2	0	6	0	1	0	0	0	0	0	0	0	0	0	0
C7orf57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	1	0	0	0	0	0	0	0
C8orf33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
C8orf58	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	0	2	0	0	1	0	1	0	0
C9	0	0	2	0	0	0	0	0	0	2	0	0	11	7	6	7	16	0	5	4	1	1	0	1	0	0	0	3	3
CA7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	1
CABCOCO1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	4	1	6	0	1	0	0	1	0	0	0	0	0	0	0
CALD1	0	2	2	1	2	1	2	3	0	3	0	2	18	3	8	5	24	0	9	1	1	6	3	0	1	1	0	2	6
CAP1	13	13	15	12	27	9	62	66	127	39	28	15	3	15	8	12	4	13	32	29	7	13	30	20	23	25	3	22	28
CAPN6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
CAPN9	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	3	0	1	0	0	2	0	0	0	0	0	0	0
CAPZA1	1	1	5	2	8	2	40	18	147	51	17	13	11	5	7	17	17	1	5	6	2	5	8	4	10	11	2	11	15
CAPZA3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
CASP1	0	0	0	0	0	0	11	5	85	11	2	0	4	3	2	0	5	1	2	0	0	3	1	0	0	1	0	0	1
CASP1.1	0	0	0	0	4	0	4	5	28	20	4	3	7	2	2	3	6	0	1	0	0	0	0	0	2	0	1	1	1
CASP5	0	0	0	0	0	0	3	2	32	12	0	4	8	2	4	0	7	0	1	0	0	3	0	1	0	0	0	0	0
CAV3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC102B	0	0	0	0	0	0	0	1	0	0	0	0	12	0	5	0	5	0	3	1	0	0	1	1	0	0	0	0	0
CCDC137	1	0	2	0	6	0	2	1	6	1	0	1	0	0	0	2	0	0	2	3	1	4	3	3	2	0	2	2	3
CCDC152	218	155	220	352	1287	295	526	695	1091	624	145	144	6	502	109	544	12	117	135	427	123	135	382	387	352	538	231	328	283
CCDC185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0
CCDC195	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0
CCDC87	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	9	0	0	2	0	1	0	0	1	0	0	0	1
CCL15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
CCL23	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CCNB3	0	0	0	0	0	0	0	0	1	0	0	0	9	0	1	0	21	0	8	0	1	1	0	0	0	0	0	0	0
CCND2	1	1	2	2	0	4	13	10	3	6	3	1	23	2	9	1	37	0	10	5	0	6	0	0	1	1	2	0	0
CCNG1	6	5	12	5	6	3	16	17	61	21	0	3	5	3	6	4	1	1	7	5	1	9	5	2	9	11	0	3	6
CD163L1	0	0	0	0	0	0	1	3	5	0	2	0	7	4	6	2	12	0	4	0	0	1	0	0	1	0	0	0	2
CD164	0	0	0	2	0	1	6	7	79	24	0	1	6	3	1	4	2	4	1	2	0	2	3	1	1	1	0	1	5
CD274	0	0	2	0	2	0	5	8	71	12	0	6	9	1	6	5	4	2	0	0	2	1	0	3	1	3	0	2	2
CDC123	26	5	18	23	54	8	41	38	85	13	24	9	3	6	17	13	7	1	21	6	2	12	8	8	11	4	6	2	18
CDC7.1	0	0	1	0	0	0	0	0	2	0	0	0	5	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
CDK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CDK14	0	0	0	0	0	0	0	1	8	0	1	0	14	0	3	1	3	0	5	0	2	1	0	0	0	0	0	0	0
CDK9	0	0	0	0	0	0	2	3	2	0	0	0	2	0	0	2	4	2	5	5	0	2	1	0	0	0	0	0	0
CDRT1	0	0	0	1	0	0	11	7	0	0	0	0	17	1	8	6	26	0	4	0	2	6	0	1	1	1	0	2	5
CELA3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	2	0
CEP19	6	6	18	13	17	2	21	25	26	11	5	2	6	0	1	4	8	3	10	6	5	23	22	24	31	21	10	25	42
CER1	0	0	0	0	0	0	0	1	0	0	3	1	6	1	0	0	14	0	2	0	0	1	0	0	0	0	0	0	0
CERS5	0	0	0	0	0	0	0	2	0	0	0	1	6	0	0	0	9	1	3	1	1	2	3	0	0	2	0	0	0
CFAP221	0	0	0	1	0	1	0	0	0	0	4	0	12	1	1	1	12	0	2	0	0	1	1	0	0	0	0	0	0
CFI	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CHCHD2.2	64	70	63	106	87	25	114	112	18	8	101	77	22	3	27	24	610	14	121	116	54	141	136	89	148	83	67	119	255
CHN1	0	0	0	0	0	0	2	0	0	0	0	0	5	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
CHRDL1	1	0	0	1	0	0	0	1	0	2	1	0	11	0	3	3	9	0	1	2	1	0	0	0	1	0	0	0	0
CHSY1	0	0	0	0	5	0	6	9	27	6	0	0	16	2	5	2	17	0	9	0	0	0	0	0	0	0	0	0	1
CIB3	0	0	0	0	3	0	1	0	0	0	1	2	0	0	0	0	0	0	1	1	0	1	1	1	2	0	0	0	0
CITED2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	2	0	1	0	0	0	0	1
CKS1B.1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CLDN24	0	0	0	0	3	0	1	1	1	3	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
CLEC1A	0	0	1	0	1	0	0	1	2	1	2	0	11	2	5	3	8	0	5	0	0	3	0	1	0	0	0	0	1
CLEC2A	0	0	0	0	1	0	0	0	0	0	0	0	3	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0
CLMN	0	0	0	0	1	0	0	0	2	0	0	0	8	1	6	1	8	0	2	0	0	4	0	0	0	0	0	0	1
CMC2	0	0	0	0	1	0	0	0	0	5	3	0	5	0	0	0	4	0	1	1	0	1	0	0	0	0	0	0	0
CMKLR1	0	0	0	0	1	0	0	0	3	1	0	0	2	0	0	0	9	0	2	0	0	0	0	0	0	0	0	0	0
CMTM2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0	0
CNGA3	0	0	0	0	0	0	2	0	0	0	0	2	5	1	0	0	16	0	4	0	0	1	0	0	0	0	0	0	0
CNIH3	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	6	0	0	0	1	0	0	0	0	1	0	0	0
CNKSR2	0	0	0	0	6	0	0	1	3	0	0	0	5	3	1	2	14	1	4	1	0	4	3	2	0	2	0	3	1
COL6A5	0	0	0	2	0	0	3	1	1	0	1	3	13	0	3	1	24	0	4	1	1	8	0	0	2	0	0	0	2
COPZ2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	2	0	0	1	0	0	0	0	0	0	0
COQ9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
COX10	0	0	3	0	0	1	5	5	1	0	2	0	20	2	5	0	15	0	4	0	0	7	2	0	1	1	2	0	1
COX18	2	1	7	7	7	2	8	7	1	0	11	4	3	1	4	5	57	0	9	6	10	18	24	12	24	13	10	12	40
COX5B	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
COX5B.2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
COX6C	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPA6	0	0	0	0	0	0	0	0	0	0	2	1	6	0	2	0	2	0	1	1	0	1	0	0	0	0	0	0	0
CPLX1	15	13	27	31	21	10	38	33	3	1	30	16	1	5	5	5	189	7	69	20	8	56	38	22	41	39	20	41	75
CPO	0	0	0	1	0	0	1	1	0	0	0	2	12	1	8	3	14	0	3	4	0	3	1	0	0	1	0	0	1
CPSF2	21	19	39	45	41	12	50	78	19	23	36	20	15	6	24	23	271	13	124	41	22	83	25	19	50	43	26	43	70
