RhesusEnsembl	d3.d0_logFC	GENE_ID	HUMAN_ID	d3.d0_logCPM	d3.d0_LR	d3.d0_PValue	d3.d0_FDR	entrezgene	ENTREZ_ID	description	X912P0	X1007P0	X1005P0	X903P0	X906P0	X806P0	X440P0	X448P0	X465P0	X493P0	X912P1	X1007P1	X1005P1	X465P1	X493P1	X912P2	X1007P2	X465P2	X493P2	X903P3	X906P3	X806P3	X1005P4	X806P4	X440P5	X448P5	X903P6	X906P6	X440P7	X448P7	rowmeans
ENSMMUG00000014926	2.225344173	EPSTI1	ENSG00000133106	6.693263349	44.38444279	2.70E-11	5.68E-08	700208	94240	epithelial stromal interaction 1 (breast) [Source:HGNC Symbol;Acc:HGNC:16465]	33.03370666	29.60832652	27.69701475	35.34615211	31.10396609	39.64716507	57.32748487	26.48170463	32.89122924	42.85871509	19.83309689	20.12936256	14.94726594	28.76953291	29.88874229	13.51979074	13.95551653	36.98329069	30.34803899	73.25188959	105.146325	296.3404847	224.3723611	321.1194565	386.4992733	667.7118939	312.7182226	268.6708752	695.4816918	422.964293	144.6215623
ENSMMUG00000015969	4.121507465	RSAD2	ENSG00000134321	4.605915863	43.14305237	5.09E-11	9.36E-08	708720	91543	Radical S-adenosyl methionine domain-containing protein 2; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F6XVY4]	3.228709868	1.385259399	2.743228121	4.916139741	3.142902517	1.614418931	1.2487171	3.643494796	1.909242758	2.89535687	0	1.445191274	0	2.275058775	2.509014578	2.390689418	1.927781111	3.104567417	3.298646806	6.001412849	8.102356074	121.4427363	75.93051831	147.5509135	181.5812289	592.6190159	187.2148654	258.1608593	996.5046436	391.2565795	100.334785
ENSMMUG00000015968	4.770682692	CMPK2	ENSG00000134326	3.758158507	29.11571168	6.82E-08	6.69E-05	708602	129607	"cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:27015]"	1.791933238	0.36839227	0	0	0.173675905	0.327111891	0.569280972	0.324105867	1.031596773	1.286126537	1.17832093	1.244498425	0	0.592675782	1.016747869	0.570898837	1.074163782	0.471783176	1.002552598	3.55680016	5.081424507	37.47542668	11.14977653	37.90463466	49.65237989	94.70417547	57.23052309	71.36817666	148.0514795	62.03117013	19.70766107
ENSMMUG00000001880	2.147490423	DDX60	ENSG00000137628	6.949176296	29.16589086	6.64E-08	6.69E-05	693567	55601	DEAD (Asp-Glu-Ala-Asp) box polypeptide 60 [Source:HGNC Symbol;Acc:HGNC:25942]	10.9069407	8.776685825	11.55925608	11.60151057	15.24417951	20.2777272	7.911585136	9.156692335	25.46636674	12.03149539	13.51840125	5.863309053	6.395956324	20.3750309	12.89850906	11.18931562	8.303362889	19.49728474	8.029796205	19.76225296	32.42189665	116.1326839	55.54733739	125.5376683	118.2961732	234.0886959	162.3798088	192.0995167	328.4509632	122.5472227	58.20892084
ENSMMUG00000001569	3.225486062	IFI44L	ENSG00000137959	4.715971236	18.1013108	2.09E-05	0.009948541	711365	10964	interferon-induced protein 44-like [Source:HGNC Symbol;Acc:HGNC:17817]	6.081906741	1.406633519	37.02818929	11.15020936	14.44187517	1.619090282	1.127097257	3.048001858	6.510208436	3.216444523	2.586489154	5.000336718	28.15144836	7.333848322	2.642088181	6.781802436	6.380085299	8.40658646	1.984914901	20.58422092	30.99412435	183.7362157	145.1560182	199.2038622	230.5794074	390.1714164	274.2530838	227.4339277	550.880708	155.5052529	85.44651646
ENSMMUG00000002350	2.537737044	IFI44	ENSG00000137965	5.591209678	22.77034575	1.83E-06	0.001168708	NA	10561	interferon-induced protein 44 [Source:HGNC Symbol;Acc:HGNC:16938]	25.28108503	11.13724084	21.04454628	11.15615498	7.350801747	13.66035316	0.642525752	9.602406154	16.15499536	14.09581982	7.372415642	10.53463483	4.634277576	24.75043158	10.75841811	18.7154902	15.87099604	16.24075294	8.335699631	28.71857801	43.67583244	148.0185279	104.4791895	192.4522695	329.7686813	493.4755909	289.4288181	338.876775	1106.3787	369.4774409	123.0696483
ENSMMUG00000010316	3.256948475	HERC5	ENSG00000138646	5.73065776	17.7874908	2.47E-05	0.010391015	NA	51191	HECT and RLD domain containing E3 ubiquitin protein ligase 5 [Source:HGNC Symbol;Acc:HGNC:24368]	4.527178377	2.841127229	13.47485735	0	3.233104836	16.44145743	0.706505627	4.273707436	5.761180018	4.410403851	2.384273001	2.316725439	2.595051989	3.126043869	2.839126519	3.28492612	2.635882449	3.659412976	2.695803457	8.828327135	16.48126521	129.6656272	62.10748936	150.2820134	149.6021925	330.6966341	102.7778335	181.3909021	596.7707273	193.1995448	66.76697749
ENSMMUG00000002569	1.447163086	PML	ENSG00000140464	5.869425973	18.62732374	1.59E-05	0.007800105	NA	5371	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F7HSN0]	11.13661627	10.45209628	16.74294861	14.59666594	16.19057454	7.336315817	12.30609459	10.20273043	10.13950074	8.944221619	9.261161722	7.53657456	15.53280184	7.767164694	4.533157511	9.508231813	6.016116828	8.413757275	8.759135417	23.95326488	22.27523526	46.11840625	29.9527996	45.41011225	35.65843919	48.53303081	44.24904688	52.64896261	53.927263	43.97355938	21.40253289
ENSMMUG00000016897	3.687533901	SECTM1	ENSG00000141574	3.437693616	15.04469765	0.000104995	0.036808179	NA	6398	secreted and transmembrane 1 [Source:HGNC Symbol;Acc:HGNC:10707]	9.295140737	4.349011845	0	0	0.652371549	1.638288981	0	5.072605547	5.812415809	5.848080951	6.158021144	7.699435813	8.378017648	5.565608213	2.386979723	7.408077401	7.33606646	3.544278876	5.60692694	14.73054295	27.8965931	80.4385029	21.10305112	92.53241354	86.06960089	106.9401726	71.74952778	64.88749787	292.8403815	135.8410262	36.05935461
ENSMMUG00000022311	1.63569645	PLAC8	ENSG00000145287	7.143773501	16.60625323	4.60E-05	0.016519289	693310	51316	Placenta-specific gene 8 protein; Protein C15; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F6U372]	52.83423279	77.68989381	241.6778619	59.23697051	121.5092039	82.00741942	197.1521289	145.3120369	67.66293863	129.2892301	61.47088768	107.5559224	112.9567514	107.1191784	163.6103265	73.34785993	65.9287342	113.3255991	151.6621113	202.9044548	246.3976269	592.6972041	531.8411059	692.1961987	1720.450879	1593.767098	1442.530182	1142.566652	3630.515706	1774.614388	523.3943594
ENSMMUG00000001000	5.167175195	KCTD14	ENSG00000151364	2.802219465	23.03795356	1.59E-06	0.001063037	699580	65987	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F6SQT0]	0	1.327795652	0	0	0.730309743	3.668027541	0	0	2.168939822	1.138564433	0	0.307831426	0	0.830736801	2.137719894	1.091199105	0.821249918	3.967710423	0.655783094	10.35442878	9.368811576	74.67042659	45.79462651	76.00668578	83.3609374	71.47762007	86.49994126	64.58505664	99.01991894	131.4770331	25.71537848
ENSMMUG00000017534	2.634304194	IFIT5	ENSG00000152778	5.662209761	24.12617696	9.02E-07	0.00066424	695796	24138	interferon-induced protein with tetratricopeptide repeats 5 [Source:HGNC Symbol;Acc:HGNC:13328]	14.72717566	9.083001895	11.60057493	0.374277124	22.33972042	14.38040666	12.97674512	18.38201007	18.05633112	8.817209429	12.59574253	8.939593368	16.91991143	21.06921222	13.03691712	11.49255135	11.12978901	18.94802659	10.99128206	30.29256835	49.323615	149.7825084	68.11345117	204.4601771	153.6646688	294.2178611	199.8838836	208.3213775	534.4748341	155.588951	76.79947914
ENSMMUG00000015329	3.256823365	MX1	ENSG00000157601	8.744213388	82.60082222	1.00E-19	1.48E-15	715186	4599	"Macaca mulatta myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse) (MX1), mRNA. [Source:RefSeq mRNA;Acc:NM_001079693]"	47.40733551	50.98964808	33.10351618	51.82703434	40.99792353	35.70574788	37.70606939	34.86241851	33.92452865	35.83192728	46.62373733	54.22844897	33.23938212	27.16488496	35.55754662	43.27208306	42.22236544	33.24824084	37.11519716	147.3662652	170.1884152	788.5203625	609.2800364	987.7403731	1494.649773	1834.087533	1247.786543	1158.763626	2666.369608	2283.220933	471.4333835
ENSMMUG00000016383	1.688766291	DTX3L	ENSG00000163840	7.652122262	32.30121025	1.32E-08	1.62E-05	714914	151636	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F7G2R1]	60.24799635	47.54817528	35.50800291	39.6565844	75.93849853	49.1352093	72.81154114	47.17737495	48.18381278	50.58727301	71.31595614	54.38210662	95.15982545	42.30907426	47.63201228	67.32596017	58.05523627	60.69230913	47.58825709	86.97558137	145.7085173	250.9720651	274.1841924	238.4489377	178.3742682	366.6850345	270.5030398	279.8839847	353.8002739	166.2532376	122.7681446
ENSMMUG00000020903	3.92708291	CXCL10	ENSG00000169245	5.080947854	21.69522977	3.20E-06	0.001960654	574243	3627	"Macaca mulatta chemokine (C-X-C motif) ligand 10 (CXCL10), mRNA. [Source:RefSeq mRNA;Acc:NM_001032892]"	7.221941847	6.617580365	0.091641883	0	8.399491191	15.02911284	0.458869112	6.531140985	6.548211449	12.44019256	2.601587654	4.425566296	6.987010901	10.27111989	15.67389281	11.54616376	10.15382532	6.084495713	4.525403947	13.23212273	46.2204742	218.4391248	159.6809926	206.2791471	27.57092946	373.5823116	68.57423551	196.510213	184.3577361	135.7294096	58.85946484
ENSMMUG00000005455	1.656119402	RNF213	ENSG00000173821	9.851838865	27.48246884	1.59E-07	0.000137301	NA	57674	ring finger protein 213 [Source:HGNC Symbol;Acc:HGNC:14539]	74.24552616	64.3338453	63.32692415	57.98239733	81.69192508	57.34224425	49.86948526	64.10172027	71.18786933	51.2427136	63.44631413	50.69302752	54.62818619	47.20943316	43.00681753	58.61631851	37.81316997	49.32915558	44.54693892	107.8806587	131.4843492	334.5622348	178.7396202	318.6945296	216.8058738	499.1457044	347.8503111	363.5554877	462.2705333	219.3178555	142.164039
ENSMMUG00000000663	1.783966936	GBP6	ENSG00000183347	7.295266502	24.49033112	7.47E-07	0.000578759	694684	163351	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F6RNS5]	19.42059191	24.90014673	22.27634918	8.386681366	21.62446704	28.0997509	19.45118485	20.64652466	16.95169878	22.42298924	22.10341665	16.57637523	25.95092243	11.2121625	13.83720945	15.53904763	13.79860008	10.3822965	17.39209611	27.51692896	44.05065221	130.2380939	76.78372797	162.8015887	66.75328993	137.0880858	56.71367481	74.52659594	185.2226095	87.84505933	46.68376061
ENSMMUG00000017533	3.178290488	IFIT1	ENSG00000185745	6.127088741	18.91377463	1.37E-05	0.007191707	695683	3434	interferon-induced protein with tetratricopeptide repeats 1 [Source:HGNC Symbol;Acc:HGNC:5407]	10.70854912	13.97107784	60.79099489	0.12328052	6.985750645	11.05220996	7.327404293	3.997854404	12.44814785	5.227629924	22.50255868	8.833650106	4.73036493	13.03206636	8.383794808	4.258632353	10.36943886	9.867776431	2.903442112	41.23202623	38.48815097	270.7808128	175.7054363	364.3785101	272.5610129	807.5264583	787.2233851	481.6732979	2177.752187	390.7266143	200.8520839
ENSMMUG00000001819	4.826372334	ISG15	ENSG00000187608	4.175039542	38.37557054	5.84E-10	8.59E-07	700141	9636	Ubiquitin-like protein ISG15; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F7GS84]	3.692219944	3.036240985	0	0	8.349915779	3.669573927	7.29857246	4.414963196	6.199583472	2.928971404	1.970462921	3.167600942	0	2.374534364	1.222069214	2.495220887	0.938967022	3.024291925	2.677794133	26.3080484	38.52463303	241.8012577	100.769875	228.2536894	416.427821	909.0190484	1126.386148	783.1068599	2075.67626	1672.869543	255.8868055
ENSMMUG00000021756	1.855020155	PLSCR1	ENSG00000188313	5.204056797	21.06149279	4.45E-06	0.002619559	713232	5359	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F6WSM6]	11.57901476	8.511936164	8.622884389	16.59403214	12.37875014	8.070542327	8.323179748	11.32820124	10.42811668	11.7833208	15.7295992	11.73992099	7.712408313	10.01916509	10.27801336	13.01821517	12.18016284	10.34656795	9.619202981	18.37579236	22.44863976	71.15870314	9.951524607	79.50034752	97.54862513	168.0279316	127.9881291	153.2972902	443.277712	133.3885678	51.10754992
ENSMMUG00000001050	2.368701997	APOL6	ENSG00000221963	6.458479415	52.86821983	3.57E-13	1.31E-09	693593	80830	"apolipoprotein L, 6 [Source:HGNC Symbol;Acc:HGNC:14870]"	37.39945609	31.60506945	42.00449404	25.34895326	39.15820444	19.5296034	51.98142562	17.52894522	30.97592327	36.08693855	29.68710651	26.22368818	16.44952245	23.9366402	23.83486582	19.79449693	23.25175211	27.83555605	22.06439032	91.47475001	148.8331586	248.4999851	222.2867915	271.6755295	197.626829	405.2909799	223.6956431	236.6393459	598.934849	281.794202	115.7149699
ENSMMUG00000029790	1.2856052	TAP1	ENSG00000227816	7.306984657	17.81495114	2.43E-05	0.010391015	717726	6890	"transporter 1, ATP-binding cassette, sub-family B (MDR/TAP) [Source:HGNC Symbol;Acc:HGNC:43]"	62.23728831	52.83630511	33.11845986	21.70503748	51.53977754	25.6340458	30.89899612	41.63685148	43.98205345	40.63220557	67.32903323	36.67760979	32.57701134	34.92884678	30.00140685	81.15910427	43.18597785	42.57746167	35.86933747	76.27229866	91.78039169	114.4255498	66.16413003	110.22483	79.6272332	100.8483478	89.18936153	127.1369583	200.4059073	104.5319421	65.63779201
ENSMMUG00000004014	2.644761791	IRF7	ENSG00000276561	5.388187356	31.93912716	1.59E-08	1.80E-05	699578	3665	"Macaca mulatta interferon regulatory factor 7 (IRF7), mRNA. [Source:RefSeq mRNA;Acc:NM_001136100]"	11.15486244	9.894506083	9.240391308	16.5443601	5.357109799	4.164089998	17.28099659	8.648361248	2.841076506	9.445509418	9.406270222	8.17204415	8.264713699	4.352701323	6.53375748	9.833947048	7.745389488	4.388806944	9.489958928	25.58585339	35.19445804	109.480949	48.24271393	91.91495812	98.80790438	135.2916176	144.167842	142.0801624	324.6585508	197.9039345	50.5362599
ENSMMUG00000015592	1.562162879	LY6E	ENSG00000278032	5.916646504	20.05123125	7.54E-06	0.004269675	696037	4061	Lymphocyte antigen 6E; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F6TDN8]	46.14940394	65.68314456	32.08913303	23.62668519	34.00171713	32.0204636	35.29313987	29.47893552	24.29864214	31.14291349	45.38534264	42.27939119	19.35214205	34.80965466	43.54342753	50.93099231	28.9157514	39.63964087	27.6422827	103.1117423	59.01991524	138.4880136	79.4250846	91.17416327	87.75708898	102.6633757	81.62391146	60.7639443	123.0781231	86.96424925	56.67841385
