GENE	p_val	avg_logFC	pct.1	pct.2	p_val_adj
OSBPL3	0.021299108	0.303018064	0.4	0	1
UBE4B	0.021299108	0.277625277	0.4	0	1
NAP1L1	0.022148149	0.858286634	0.9	0.667	1
X4.Sep	0.022529962	0.8831611	1	0.667	1
DENND2D	0.023051827	1.218471549	0.6	0.083	1
LARP1	0.023051827	0.407419928	0.6	0.083	1
DNAJC13	0.023051827	0.340896201	0.6	0.083	1
PI4KB	0.023312118	1.847667202	0.5	0.083	1
NRD1	0.023312118	1.641970567	0.5	0.083	1
HIST1H4K.2	0.023312118	1.402619903	0.5	0.083	1
SUMO3	0.023312118	0.979355965	0.5	0.083	1
C11H12ORF29	0.023312118	0.714643911	0.5	0.083	1
ADD1	0.023312118	0.559233371	0.5	0.083	1
DOCK5	0.023312118	0.444518542	0.5	0.083	1
ENSA	0.023312118	0.286181459	0.5	0.083	1
TAF15	0.023312118	0.263872043	0.5	0.083	1
NBN	0.024051424	1.975492734	0.7	0.167	1
CSNK1A1	0.024051424	0.254778194	0.7	0.167	1
AHCTF1	0.025598106	1.356300843	0.7	0.25	1
SNX4	0.025598106	0.909816583	0.7	0.25	1
RSRC2	0.025782605	0.496830495	0.9	0.417	1
SETD2	0.026452714	1.33926072	0.9	0.333	1
SRSF7	0.026452714	1.313316796	0.9	0.333	1
SLC25A3	0.026452714	1.000850099	0.9	0.333	1
ARID1A	0.026452714	0.64731737	0.9	0.333	1
ST8SIA4	0.027811539	-1.596251305	0	0.417	1
HIST1H1C	0.028319258	0.420050497	0.6	0.083	1
CELF6	0.028319258	0.3947433	0.6	0.083	1
CGGBP1	0.028319258	-0.649187712	0.6	0.083	1
PLCB2	0.028319258	-0.707581624	0.6	0.083	1
AMY2A	0.028942409	2.049871018	0.5	0.083	1
TTF2	0.028942409	1.920743787	0.5	0.083	1
LRPPRC	0.028942409	1.681980562	0.5	0.083	1
KIF3A	0.028942409	1.527245473	0.5	0.083	1
MRPS35	0.028942409	1.291799748	0.5	0.083	1
TRAPPC11	0.028942409	1.072260022	0.5	0.083	1
TMEM181	0.028942409	0.625524419	0.5	0.083	1
IRF2	0.029085221	0.833469365	0.7	0.167	1
XRN1	0.02917321	-1.83696397	0.4	0.667	1
ASCC3	0.029255309	1.749820346	0.6	0.167	1
RNF216	0.029255309	0.700328594	0.6	0.167	1
PDS5A	0.030753561	0.926732956	0.7	0.25	1
WBP11	0.030753561	0.698113951	0.7	0.25	1
YTHDC1	0.031146935	0.512641557	1	0.583	1
BLOC1S1	0.034695411	0.682713685	0.8	0.333	1
PHF14	0.035000531	2.185953314	0.6	0.25	1
TBC1D1	0.035418873	0.919776444	0.6	0.167	1
UBE2D2	0.035418873	0.700626079	0.6	0.167	1
STRN	0.035706004	1.517584986	0.5	0.083	1
WHSC1	0.035706004	1.10882899	0.5	0.083	1
KCNAB2	0.035706004	0.89362746	0.5	0.083	1
PFDN1	0.035706004	0.80367086	0.5	0.083	1
KMT2D	0.035706004	0.77374486	0.5	0.083	1
LAMTOR3	0.035706004	0.674255196	0.5	0.083	1
COPS6	0.036776311	0.982214938	0.7	0.25	1
HNRNPD	0.037258921	1.153604782	0.8	0.417	1
GNB2L1	0.037580776	0.596426386	1	0.75	1
DNAJC8	0.037658289	0.56540106	0.8	0.25	1
REEP5	0.041913802	1.361194939	0.6	0.25	1
TNFRSF25	0.042657858	1.20714994	0.6	0.167	1
MITD1	0.042657858	0.864005101	0.6	0.167	1
CCM2	0.042657858	0.69214634	0.6	0.167	1
RAB24	0.043773914	1.490656128	0.5	0.083	1
TM2D1	0.043773914	1.056112278	0.5	0.083	1
BCAP29	0.043773914	0.920857353	0.5	0.083	1
SOS2	0.043773914	0.868254118	0.5	0.083	1
KIAA1143	0.043773914	0.661970179	0.5	0.083	1
VPS13B	0.043775885	2.479132139	0.7	0.25	1
NUP210	0.043775885	1.290804228	0.7	0.25	1
SARS	0.043775885	0.82543229	0.7	0.25	1
IKBKE	0.043944139	1.081554759	0.9	0.333	1
BAZ2A	0.049949323	1.832111077	0.6	0.25	1
BIRC6	0.050085648	0.369659169	0.9	0.417	1
IPO9	0.050746555	1.646395745	0.5	0.167	1
RALGAPA1	0.050746555	1.490041468	0.5	0.167	1
OCIAD1	0.050746555	1.336066278	0.5	0.167	1
REST	0.050746555	1.161298494	0.5	0.167	1
SNRNP200	0.050746555	1.036351036	0.5	0.167	1
UBA3	0.050746555	0.600180473	0.5	0.167	1
PYHIN1	0.051110327	1.126616053	0.6	0.167	1
SFT2D1	0.051110327	1.01211802	0.6	0.167	1
MXD1	0.051110327	0.703206382	0.6	0.167	1
PKN2	0.051110327	0.505941068	0.6	0.167	1
NOL7	0.051110327	0.461599107	0.6	0.167	1
BRE	0.051110327	-0.412715116	0.6	0.167	1
USP34	0.052526995	1.73002456	0.7	0.417	1
CYFIP1	0.05321598	1.986054846	0.3	0	1
KLHL18	0.05321598	1.970668496	0.3	0	1
PARP15	0.05321598	1.942913109	0.3	0	1
HSD17B8	0.05321598	1.771798362	0.3	0	1
GPR113	0.05321598	1.666035442	0.3	0	1
ACAA1	0.05321598	1.534095562	0.3	0	1
RRNAD1	0.05321598	1.464636007	0.3	0	1
UBE2H	0.05321598	1.393455628	0.3	0	1
TSC22D2	0.05321598	1.377404432	0.3	0	1
PWP2	0.05321598	1.324478733	0.3	0	1
ARV1	0.05321598	1.175503988	0.3	0	1
RAD51AP1	0.05321598	1.16179246	0.3	0	1
TADA1	0.05321598	1.16143241	0.3	0	1
RPP40	0.05321598	1.124582425	0.3	0	1
PGM1	0.05321598	1.085519353	0.3	0	1
PANK4	0.05321598	1.061799548	0.3	0	1
SLA	0.05321598	1.056922288	0.3	0	1
AGPAT6	0.05321598	1.035416121	0.3	0	1
LGALS8	0.05321598	1.031853204	0.3	0	1
DUSP4	0.05321598	1.029797395	0.3	0	1
SNIP1	0.05321598	1.015801809	0.3	0	1
FAM60A	0.05321598	1.015461351	0.3	0	1
PHACTR4	0.05321598	0.991794244	0.3	0	1
PLK1	0.05321598	0.987422627	0.3	0	1
SOCS4	0.05321598	0.980222639	0.3	0	1
TARS	0.05321598	0.913591827	0.3	0	1
KIF15	0.05321598	0.878450384	0.3	0	1
TPRG1	0.05321598	0.829175315	0.3	0	1
SOAT1	0.05321598	0.824597023	0.3	0	1
TSGA14	0.05321598	0.81559632	0.3	0	1
CHFR	0.05321598	0.784526382	0.3	0	1
NUF2	0.05321598	0.778620138	0.3	0	1
UBR7	0.05321598	0.776787552	0.3	0	1
CUL1	0.05321598	0.767588348	0.3	0	1
SNX8	0.05321598	0.759991551	0.3	0	1
C11H12ORF23	0.05321598	0.75297416	0.3	0	1
MPP5	0.05321598	0.74879009	0.3	0	1
CDK2AP1	0.05321598	0.736979075	0.3	0	1
OGFOD2	0.05321598	0.712566777	0.3	0	1
LINS	0.05321598	0.709118691	0.3	0	1
RPUSD3	0.05321598	0.695673724	0.3	0	1
ZNF384	0.05321598	0.680913397	0.3	0	1
ZBTB11	0.05321598	0.677795092	0.3	0	1
NME6	0.05321598	0.67664328	0.3	0	1
RRAGC	0.05321598	0.671115269	0.3	0	1
ZNHIT6	0.05321598	0.656005499	0.3	0	1
CMTM7	0.05321598	0.655602557	0.3	0	1
CIT	0.05321598	0.637005373	0.3	0	1
LRRC8B	0.05321598	0.632543508	0.3	0	1
THUMPD2	0.05321598	0.625766912	0.3	0	1
TMEM63A	0.05321598	0.62304736	0.3	0	1
PIAS3	0.05321598	0.613653556	0.3	0	1
PDXK	0.05321598	0.613071651	0.3	0	1
KIAA1524	0.05321598	0.59947183	0.3	0	1
CLIC4	0.05321598	0.596848845	0.3	0	1
CNNM3	0.05321598	0.578800268	0.3	0	1
ETAA1	0.05321598	0.570328228	0.3	0	1
ETNK1	0.05321598	0.565067018	0.3	0	1
RIT1	0.05321598	0.518903625	0.3	0	1
STX1A	0.05321598	0.517791213	0.3	0	1
CAMSAP1L1	0.05321598	0.513764367	0.3	0	1
PPM1B	0.05321598	0.511559058	0.3	0	1
PLEC	0.05321598	0.507354354	0.3	0	1
IL1RAP	0.05321598	0.503179933	0.3	0	1
VAMP1	0.05321598	0.501918979	0.3	0	1
TRPS1	0.05321598	0.501517368	0.3	0	1
CTPS	0.05321598	0.496938957	0.3	0	1
FAM98A	0.05321598	0.482196505	0.3	0	1
FAHD2B	0.05321598	0.480757453	0.3	0	1
MKRN1	0.05321598	0.47911841	0.3	0	1
U4.75	0.05321598	0.476917276	0.3	0	1
ZDHHC4	0.05321598	0.468675377	0.3	0	1
CARD6	0.05321598	0.458774261	0.3	0	1
PAICS	0.05321598	0.456277073	0.3	0	1
AMMECR1	0.05321598	0.43865228	0.3	0	1
NUDCD2	0.05321598	0.433404786	0.3	0	1
CLK2	0.05321598	0.431067269	0.3	0	1
TSR2	0.05321598	0.425882693	0.3	0	1
PML	0.05321598	0.418482548	0.3	0	1
LAMP2	0.05321598	0.415383721	0.3	0	1
SNUPN	0.05321598	0.414501171	0.3	0	1
ATP6V1D	0.05321598	0.405756513	0.3	0	1
TTBK2	0.05321598	0.388828432	0.3	0	1
HIST2H3D	0.05321598	0.380784233	0.3	0	1
APITD1	0.05321598	0.377719478	0.3	0	1
SPR	0.05321598	0.368401514	0.3	0	1
KATNBL1	0.05321598	0.36697911	0.3	0	1
ABCF3	0.05321598	0.359978329	0.3	0	1
FAM193A	0.05321598	0.35567435	0.3	0	1
ORC3	0.05321598	0.352642344	0.3	0	1
NIPA2	0.05321598	0.335162391	0.3	0	1
PLEKHA2	0.05321598	0.333030254	0.3	0	1
snoU13.6	0.05321598	0.331115087	0.3	0	1
PINX1	0.05321598	0.327370432	0.3	0	1
ASH2L	0.05321598	0.326479388	0.3	0	1
CARD11	0.05321598	0.326185683	0.3	0	1
KHK	0.05321598	0.321192342	0.3	0	1
ENO2	0.05321598	0.318568839	0.3	0	1
YIPF1	0.05321598	0.305581341	0.3	0	1
HIST2H3D.1	0.05321598	0.302472582	0.3	0	1
DNAJC17	0.05321598	0.298025304	0.3	0	1
USP30	0.05321598	0.29577835	0.3	0	1
STXBP5	0.05321598	0.294829789	0.3	0	1
YTHDF3	0.05321598	0.29039541	0.3	0	1
ROCK2	0.05321598	0.280661163	0.3	0	1
MOCS2	0.05321598	0.277708826	0.3	0	1
ST3GAL5	0.05321598	0.273418472	0.3	0	1
PPP2R5D	0.05321598	0.262075591	0.3	0	1
ELMOD3	0.05321598	0.254996679	0.3	0	1
TMEM131	0.053330025	0.673922214	0.5	0.083	1
OXSR1	0.053330025	0.646214226	0.5	0.083	1
MRPL37	0.053330025	0.520481049	0.5	0.083	1
LPCAT3	0.053330025	0.398211609	0.5	0.083	1
VPS54	0.053330025	0.38785736	0.5	0.083	1
ARHGAP26	0.053330025	0.361772702	0.5	0.083	1
USP33	0.053330025	0.336136997	0.5	0.083	1
TUBA1B	0.053435653	1.0834067	0.9	0.583	1
FYB	0.053435653	0.532081481	0.9	0.583	1
RNASET2	0.056042983	-0.763461265	0	0.333	1
BEX1	0.056042983	-1.1911678	0	0.333	1
DDX1	0.056363034	0.83373794	0.6	0.333	1
BOD1L1	0.056888294	0.965262103	0.8	0.333	1
ZNF644	0.058534686	1.272201965	0.9	0.417	1
AKAP13	0.05876649	1.249801202	0.9	0.667	1
TMSB10	0.060140095	0.705409053	1	0.833	1
VPS28	0.060922149	1.062599994	0.6	0.167	1
PPTC7	0.060922149	0.930115101	0.6	0.167	1
PPP2CA	0.060922149	0.890035203	0.6	0.167	1
COPZ1	0.060922149	0.619681114	0.6	0.167	1
RBBP4.1	0.060922149	0.513040229	0.6	0.167	1
IL16	0.060947337	1.319725645	0.5	0.167	1
PSMC2	0.060947337	1.003888913	0.5	0.167	1
ZNF326	0.060947337	0.911396233	0.5	0.167	1
SMEK2	0.060947337	0.282253511	0.5	0.167	1
ZNF800	0.061876965	1.889537327	0.7	0.333	1
ATP5C1	0.061876965	0.879907517	0.7	0.333	1
FAM49B	0.061876965	0.874376442	0.7	0.333	1
CAMLG	0.061876965	0.822168038	0.7	0.333	1
GABARAP	0.061876965	0.373640023	0.7	0.333	1
BHLHE40	0.061876965	-1.552210929	0.3	0.667	1
RBM5	0.063184322	0.91478586	0.8	0.5	1
TTLL13	0.064569291	0.334405177	0.5	0.083	1
VRK1	0.064569291	0.331922343	0.5	0.083	1
PPP2R5E	0.064569291	0.29480082	0.5	0.083	1
ABHD16A	0.064569291	-0.318970883	0.5	0.083	1
KIAA2018	0.064569291	-0.341853717	0.5	0.083	1
DDHD2	0.064569291	-0.697460327	0.5	0.083	1
CAPZA1	0.065378181	0.784239352	0.8	0.583	1
BAP1	0.065656507	2.568499015	0.4	0.083	1
OXR1	0.065656507	2.230401191	0.4	0.083	1
FANCM	0.065656507	1.493546587	0.4	0.083	1
TBRG4	0.065656507	1.474293451	0.4	0.083	1
MRPL22	0.065656507	1.352829651	0.4	0.083	1
ZNF622	0.065656507	1.080552277	0.4	0.083	1
UBE2D4	0.065656507	0.999519874	0.4	0.083	1
PTCD1	0.065656507	0.973892385	0.4	0.083	1
RAD17	0.065656507	0.964292911	0.4	0.083	1
SIKE1	0.065656507	0.893288729	0.4	0.083	1
TMEM30A	0.065656507	0.874274936	0.4	0.083	1
MCTS1	0.065656507	0.844909906	0.4	0.083	1
TULP4	0.065656507	0.80617971	0.4	0.083	1
PMVK	0.065656507	0.787394412	0.4	0.083	1
NEDD4	0.065656507	0.722795894	0.4	0.083	1
TFE3	0.065656507	0.671299948	0.4	0.083	1
NUP37	0.065656507	0.660807062	0.4	0.083	1
ABHD11	0.065656507	0.658004354	0.4	0.083	1
TLE3	0.065656507	0.584481386	0.4	0.083	1
NOL10	0.065656507	0.576380369	0.4	0.083	1
ANKRD39	0.065656507	0.525838373	0.4	0.083	1
SAP130	0.065656507	0.466386967	0.4	0.083	1
RNF139	0.065656507	0.43963387	0.4	0.083	1
SF3B4	0.065656507	0.297723402	0.4	0.083	1
LACTB	0.065656507	0.292081556	0.4	0.083	1
KLHDC3	0.069917747	1.103664062	0.6	0.25	1
NSD1	0.069917747	1.061625334	0.6	0.25	1
HUWE1	0.070335137	1.45844763	0.8	0.417	1
MORF4L1	0.070335137	0.632099683	0.8	0.417	1
TC2N	0.071828156	0.958223829	0.7	0.25	1
HCLS1	0.071828156	0.741881925	0.7	0.25	1
ATF7IP	0.071828156	0.722170015	0.7	0.25	1
UPF2	0.071828156	0.68254365	0.7	0.25	1
CCNI	0.071828156	0.445238668	0.7	0.25	1
PA2G4	0.072147764	0.966574775	0.9	0.583	1
ANKIB1	0.072245525	1.141785816	0.6	0.167	1
TNFRSF18	0.072245525	0.983464515	0.6	0.167	1
SPG11	0.072245525	0.737914925	0.6	0.167	1
RAB11FIP1	0.072245525	0.717666954	0.6	0.167	1
SELL	0.072245525	0.485895748	0.6	0.167	1
CCT6A	0.072245525	0.442212591	0.6	0.167	1
SF3B5	0.072245525	-1.337012796	0.2	0.5	1
CHURC1	0.072791169	0.890034746	0.5	0.167	1
DHX29	0.072791169	0.663783243	0.5	0.167	1
RDBP	0.072791169	0.452631549	0.5	0.167	1
GPR89B	0.072791169	0.418932252	0.5	0.167	1
DYNC1H1	0.075789404	0.635653384	0.8	0.583	1
LEMD3	0.077695261	-2.212288167	0.1	0.417	1
CD2	0.079720088	0.774292653	1	0.667	1
GALM	0.079951367	1.412810357	0.4	0.083	1
CLSPN	0.079951367	1.300461309	0.4	0.083	1
TNPO1	0.079951367	1.138569666	0.4	0.083	1
G2E3	0.079951367	0.976051658	0.4	0.083	1
MRPL42	0.079951367	0.969961226	0.4	0.083	1
WBP1	0.079951367	0.967162428	0.4	0.083	1
VPS8	0.079951367	0.883594841	0.4	0.083	1
ELL2	0.079951367	0.860905107	0.4	0.083	1
POR	0.079951367	0.770583042	0.4	0.083	1
MYSM1	0.079951367	0.695714186	0.4	0.083	1
IRF4	0.079951367	0.669117302	0.4	0.083	1
CDKN2AIP	0.079951367	0.641312677	0.4	0.083	1
CTDSPL2	0.079951367	0.626763668	0.4	0.083	1
PRKACB	0.079951367	0.614884928	0.4	0.083	1
CENPW	0.079951367	0.60602302	0.4	0.083	1
TIPARP	0.079951367	0.601700088	0.4	0.083	1
DDX11	0.079951367	0.524871651	0.4	0.083	1
WDR76	0.079951367	0.518466419	0.4	0.083	1
EPB41	0.079951367	0.514962395	0.4	0.083	1
ACOT13	0.079951367	0.436291009	0.4	0.083	1
BUB1B	0.079951367	0.406427756	0.4	0.083	1
OTUD4	0.079951367	0.395231491	0.4	0.083	1
C2CD5	0.079951367	0.363959755	0.4	0.083	1
CBLB	0.08160403	1.251191032	0.8	0.417	1
ATP10A	0.082128754	1.467947718	0.6	0.25	1
HNRNPC	0.083347454	0.540660995	0.9	0.583	1
RNF115	0.083952818	0.394506891	0.7	0.25	1
USP1	0.084301119	1.054769018	0.7	0.333	1
PCNP	0.084301119	0.795007952	0.7	0.333	1
ARPC5	0.084301119	0.640633107	0.7	0.333	1
OFD1	0.085237115	1.231515406	0.6	0.167	1
SASH3	0.085237115	0.722517813	0.6	0.167	1
RTF1	0.085237115	-0.284869347	0.6	0.167	1
HPRT1	0.086455583	1.371112528	0.5	0.167	1
HELQ	0.086455583	1.095623511	0.5	0.167	1
ACSL4	0.086455583	0.779494743	0.5	0.167	1
MOV10	0.086455583	0.657757466	0.5	0.167	1
ELK3	0.086455583	0.343041467	0.5	0.167	1
SKIV2L2	0.087515531	0.792375267	0.8	0.583	1
USP3	0.089802456	0.629310432	0.8	0.333	1
ABCF1	0.090609104	1.237957769	0.6	0.333	1
CLIP1	0.092408116	1.328241692	0.5	0.25	1
S100A6	0.094295471	0.94706615	0.8	0.417	1
SREK1IP1	0.096014822	1.031304999	0.6	0.25	1
ARPC4	0.096014822	0.989285676	0.6	0.25	1
NUDCD3	0.096014822	0.966035352	0.6	0.25	1
SLC25A26	0.096014822	0.951714872	0.6	0.25	1
HSPE1.2	0.096014822	0.614827963	0.6	0.25	1
C2ORF29	0.096014822	0.345106162	0.6	0.25	1
BIN3	0.096678291	1.783833968	0.4	0.083	1
ATP10D	0.096678291	1.69491649	0.4	0.083	1
PARP6	0.096678291	1.601630822	0.4	0.083	1
CCNL2	0.096678291	1.17055604	0.4	0.083	1
XRCC4	0.096678291	0.816796275	0.4	0.083	1
MCM2	0.096678291	0.754787448	0.4	0.083	1
MRPL47	0.096678291	0.731454447	0.4	0.083	1
LSM10	0.096678291	0.68874564	0.4	0.083	1
RUVBL1	0.096678291	0.625746144	0.4	0.083	1
WRNIP1	0.096678291	0.531449205	0.4	0.083	1
SSBP3	0.096678291	0.526102011	0.4	0.083	1
TAF7	0.096678291	0.504463191	0.4	0.083	1
CCDC50	0.096678291	0.452925115	0.4	0.083	1
TBP	0.096678291	0.341536807	0.4	0.083	1
SLC39A9	0.096678291	0.339300021	0.4	0.083	1
DIAPH1	0.097683492	0.431035596	0.7	0.25	1
FXR1	0.097762754	0.739643743	0.7	0.333	1
USP9X	0.097881286	0.433889401	0.8	0.5	1
JHDM1D	0.100055772	0.396128321	0.6	0.167	1
USP25	0.100055772	-0.28012683	0.6	0.167	1
FNIP1	0.100663489	1.301224379	0.8	0.583	1
KIF2A	0.102120566	1.145456522	0.5	0.167	1
BNIP2	0.102120566	0.837789791	0.5	0.167	1
GNL1	0.102120566	0.83130369	0.5	0.167	1
EPRS	0.102120566	0.567053422	0.5	0.167	1
GNL3L	0.102120566	0.446381171	0.5	0.167	1
GUK1	0.103695011	0.771706075	0.8	0.333	1
HECA	0.105192505	0.735654673	0.6	0.333	1
SUCLG1	0.108199845	1.320545393	0.5	0.25	1
WASF2	0.108522556	0.502657669	0.8	0.417	1
PDE8A	0.109207679	-0.358531457	0	0.25	1
TXNDC16	0.109207679	-0.473849941	0	0.25	1
ANKRD46	0.109207679	-0.517538475	0	0.25	1
CYHR1	0.109207679	-0.54138426	0	0.25	1
TRAPPC6B	0.109207679	-0.59154415	0	0.25	1
TMEM184C	0.109207679	-0.702244435	0	0.25	1
X6.Mar	0.109207679	-0.753688578	0	0.25	1
CACNB3	0.109207679	-0.90921125	0	0.25	1
UAP1	0.109207679	-0.9435452	0	0.25	1
LANCL3	0.109207679	-0.964799099	0	0.25	1
NIT1	0.109207679	-1.256932179	0	0.25	1
LMNA	0.109207679	-1.427254127	0	0.25	1
TMF1	0.110444737	-2.497991434	0.1	0.417	1
SLC20A1	0.111719588	0.973323267	0.6	0.25	1
SLTM	0.111719588	0.81347776	0.6	0.25	1
