hgnc_symbol	PL2_EBOV_1h	PL7_EBOV_72h	PL8_EBOV_72h	PL9_MAVKO_EBOV_1h	PL10_MAVKO_EBOV_1h	PL15_MAVKO_EBOV_72h	PL16_MAVKO_EBOV_72h	PL17_VP35_1h	PL18_VP35_1h	PL23_VP35_72h	PL24_VP35_72h	PL25_MAVKO_VP35_1h	PL26_MAVKO_VP35_1h	PL31_MAVKO_VP35_72h	PL32_MAVKO_VP35_72h
CITED2	0.755988617	0.893492852	2.073095692	0.454079837	0.397790314	1.451515198	2.555285551	0	0	0.787483092	2.524751783	0.424791272	0.391080393	1.818260802	1.162193563
SAMD9	0.20967518	0.165208197	0.487859997	0.083960057	0.147104077	0.178924922	0	0	0.25399239	11.64854639	7.639044085	0.157089114	0.361556819	0.201719524	0.085956548
HCG4P11	5.318048082	22.28435187	21.21209921	8.711597276	13.22823391	12.99552835	13.57576027	7.631553886	12.88415483	768.8290397	820.2131309	8.149691287	8.003138623	11.16276359	19.02666838
IFI16	0	0.427843668	0.270733467	0	0	0.115841551	0.376487104	0.089285865	0.109628374	9.427038333	7.033961762	0	0	0.174132646	0
HERC5	0.502630913	0	0.4009688	0.603804231	0.846326854	0.772050152	0.731843218	0.099177375	0.121773523	8.51674695	9.156114003	0.90377329	1.040063782	1.160543298	0.741794548
HMGB1P27	0	1.878113085	0	0.954471299	0	2.034047002	0.826336124	0	0	5.51760541	6.754367614	0	0	0	0
RARRES2P2	0	3.502584093	4.925302323	3.560079546	1.039586027	3.79339281	5.136914253	0	0	6.860033118	8.397698292	1.110150387	0	3.801477223	8.504381348
HIST1H2BK	1.257500751	0	5.015793442	0	0	3.219239743	0	0	0	6.986070472	12.21712387	0	3.9031055	2.419575398	1.54654104
AQP3	0.327259417	2.707484744	4.242353982	0.982831614	0.688796753	3.97952126	3.573734403	0	0	0.681786078	1.788444235	0.735550461	0.846472675	4.407792067	3.622328706
TNXA	0	0	0	0	0	0	0	0.231932958	0	7.509682967	11.70532949	0	0	0	0
ABHD11-AS1	0.858616105	1.014786909	0.856190547	0	0.903582837	0	0	0	0	7.155088306	4.170899817	0.964915659	0	0	1.05597157
GYS2	0.152971835	1.084772213	1.220317562	0.183763152	0.482949448	5.678381213	5.409177269	0	0	1.062297593	0.928864183	0.515730783	0.158267688	7.505550695	6.396517443
TMEM54	1.352456701	2.397675773	3.371590158	0.812344662	0.355821611	0.432791229	1.054934402	0	0	2.348000044	2.053071717	0.379973845	0.699639236	0.975855568	0.831661448
UBE2L6	1.526515478	4.897028131	4.131694211	3.667567914	3.212921768	4.18706307	6.350413796	0.430295283	1.584995751	61.18137866	45.81629984	2.205646991	2.933102949	7.972374285	11.26433761
C1R	0.337875731	1.497490554	2.779600271	0.608828836	0.17778534	0.756850528	0.790642832	0.083335573	0.920901533	27.21759261	23.28593072	0.28477941	0.436966148	0.893903428	0.831074945
CATIP-AS1	1.23640719	2.191939723	4.315200358	0	0	0	3.857656897	0	0	4.293052984	3.003047868	0	0.639605675	3.568483457	0
C7orf49	1.350613944	5.214490444	5.028047777	1.406145558	1.610860138	5.532179704	5.431362448	0.35533123	3.272162812	86.91395089	82.33901803	1.517824481	2.235795069	5.370720733	4.097272889
PDK4	0.530103769	4.385657961	5.074619964	2.037782495	1.11573185	22.25613809	21.28085234	0	0.256858867	6.037254196	6.823976056	1.310611267	1.864749895	27.23347494	20.99278025
PLEKHA4	0.124411266	0	0.496239237	0.448361096	0.654634151	1.751731208	0.905729623	0.122741981	0	3.974223289	4.230468628	0	0.386155075	1.795361386	1.683083225
C1S	1.779416105	4.03088059	6.506094186	1.603192739	1.560505179	3.226712444	3.701249267	0.219442604	1.167571021	34.80548527	28.45273998	3.082892091	2.531401292	5.777662979	3.009077762
C3	0.460238027	3.195701425	2.753627235	0.276439094	0.242170616	1.251862141	0.658151718	0.056757849	0.557514516	14.46224801	13.20459404	0.323260649	0.297607108	2.822692696	2.264100427
RPL5P30	0.537719177	0.635523114	1.072400281	0	0	2.064865895	5.033138207	0	0	3.734136995	1.959059005	0.604290615	0	1.034633251	0
HLA-F-AS1	0	0.27099837	0.228645286	0	0	0.146749263	0.596172149	0.339324744	0	10.19073597	8.214546768	0.128840138	0	0.992668586	0.422995073
IL23A	0.403629138	1.431131664	4.829866811	2.424373182	0.424767669	1.549954097	2.098907677	0.398213453	0	10.09066371	12.25443396	1.814399116	0.835205389	2.329885998	2.482022478
LGALS3BP	1.604155535	1.579941671	4.532267595	0.642350662	0.140680587	0.855559669	1.251262875	0	1.4574089	26.36442416	27.92315017	0.300459229	0.829845533	1.543289442	1.972875456
PTPRH	0.330875543	1.694582006	1.649704162	0	0.232135922	2.117628353	1.03234948	0	0.133603271	2.757278505	3.214588533	0.371839045	0.114110129	2.440462616	2.170284111
RGMB-AS1	0.20439752	0.966298797	1.222920628	0.245540185	0.215102058	5.494269876	8.715660402	0.201655021	0.247599237	9.368159562	9.929019189	0.918810474	1.691789756	15.53472694	13.57446048
IL20RB-AS1	0.852504958	2.015128452	0	67.59083409	51.13764364	108.0306974	120.5803787	0	2.065382957	49.72913688	27.95319246	59.39897177	62.62331368	147.6285416	138.3961601
HLA-C	0.382216024	3.839756129	3.04909023	0.918302662	0.201116563	1.467726775	0.596267271	0.188543825	0.926003368	21.23408736	19.26316854	0.42953565	1.779517186	2.390139	1.410208543
TRIM31-AS1	13.96306845	31.97410555	33.0686054	13.62859839	7.347165366	31.27764078	28.13606768	6.026877198	16.91432017	385.4363963	328.5438299	11.76880738	30.69874235	36.10191597	39.71145545
ERBB3	0	1.308041337	2.20722719	0.332378259	0.349410411	2.124965942	2.014301673	0.054594522	0.067033104	1.998267905	1.881674138	0.373127469	0.515274842	2.981292486	2.041691394
OAS3	1.393599185	1.029422667	1.389662321	1.464849116	1.64990656	1.040566282	1.087026092	0.401012675	1.055095038	22.82326617	17.69991173	0.848321196	1.742229736	1.284858757	0.78554763
USP18	0.225038885	1.063881813	0.448806318	1.081345596	0.473648871	0.864159471	0.468088946	0	0.545206774	8.751456059	6.559028928	0.252899454	0.465659369	0.649500864	0.553529484
IFITM3	1.066263619	10.92175702	14.17668621	2.134815257	0.748070064	18.65272404	19.96079885	1.051957052	0.43054348	25.1755073	21.58162183	0	0.367725815	19.83226155	17.48463312
ANGPTL6	10.32465197	40.24251248	41.18194093	12.93065726	15.02657016	30.08682865	30.15729028	7.585409403	14.10350682	298.0827504	289.9865429	14.81218536	12.72759574	33.18013332	32.14975892
LY6E	1.270361555	3.217335767	3.438383402	1.526069452	0.763938217	3.019866372	1.887426828	0.716180862	1.099190551	26.46569595	23.58217277	2.651325072	1.689867267	3.317292861	3.124715874
IFI35	0.728496381	2.296000385	1.210730678	1.166844791	0.766648591	0.932486322	0.505099526	0.479147865	0.588314861	16.52596929	13.56546585	1.364477794	1.004955699	0.233618405	1.791886882
HPS3	13.32556823	259.5015808	270.951462	0.643993503	1.12832307	78.61871277	68.5773126	8.46229049	13.45173091	286.7616657	289.8041999	0.602455333	1.188525572	65.57335531	65.36558545
C4B-AS1	0.457382135	2.973156107	3.192630336	0.54944744	0.240667887	0.878184016	1.427056847	0.902490442	0.831082498	25.40995561	22.49598209	1.285018944	0.47321661	2.640166758	1.687538338
HERC6	0.578932247	0.293242411	0.659767755	0.794816079	1.044431327	1.799673383	2.236371094	0.163189839	0.500925782	7.925807295	8.135522611	0.185887429	1.026813876	1.909597569	1.322288585
HIST2H3A	2.603846665	5.812964139	4.904482809	1.042656147	0.91340439	1.851646048	2.106258924	1.427172007	1.40186621	37.77160747	34.43259143	2.926211618	1.795994197	3.618404875	0.355816507
PARP9	1.715310938	2.660835309	3.100218267	1.867402059	1.805143784	1.097811897	1.672456979	0.951916384	1.558395912	28.66278103	31.83262659	2.228870966	2.1629091	1.908075318	1.714033961
PLSCR1	1.103934992	2.218034243	3.522612537	0.663071651	0.580874681	0.423916017	0.229622434	0.217824594	1.470990488	19.93203171	17.56246744	1.116545262	1.027937693	0.743434054	0.81460664
TAP1	1.883778976	1.979033971	2.295892345	0.377160022	0.110135261	0.401877569	0.217684877	0.826001518	2.02838833	31.54146726	34.18853235	0.235221904	0.108277501	0.302050533	0.38612853
CEACAM1	0.08673204	2.562685984	2.508123721	0.104190115	0.273822895	2.220366296	1.262840253	0.085568314	0.315191498	5.902559271	3.15988699	0.487348785	0.179469369	2.252912031	1.600014852
SPX	0.142634054	1.180040984	0.995617826	1.028067032	1.801247597	4.016622138	4.598601119	0.140720265	0	1.981015816	2.251838886	2.564682049	1.328148135	5.077218574	7.543013355
MAGOH2P	3.757708128	6.661777588	5.620639122	4.514087791	0.988625928	7.214884364	5.862125677	0.926822292	1.137985511	24.79027654	25.09900302	2.111462501	1.943899602	3.6151303	8.087499909
DDX58	1.430829594	1.821161344	1.536540444	2.776583979	2.432387707	3.099433439	2.747240152	1.085870363	1.06661633	27.97437351	20.98528885	2.844871943	1.366490416	5.188496795	4.196231616
SLC9A3R2	0.809759639	3.349654365	3.633624446	0.324251377	0.2840559	0.863753762	1.403607556	0.133149118	0.163485242	2.624204218	4.261367222	0.303336866	0.418896675	0.519356747	0.49794265
CCDC146	0.967460192	3.176189673	5.681171022	0.258266185	0.339375739	2.889515053	1.006175935	0.212106515	0.520863909	7.614221188	7.832719648	0.60401945	0.667302309	2.068337955	2.511871346
IGFBP1	4.347620565	8.906550798	13.2950387	0.69636563	0.305020704	5.194018387	6.028804386	0.857857294	1.755513039	27.77628655	26.04730721	0.325724705	0.599751238	5.298035784	6.772783175
STC2	1.641851095	1.755674087	0.935550245	3.099383874	2.22150441	5.203947273	4.797415187	0.077134362	0.66295827	6.949589687	7.12108997	2.196568773	2.912042811	7.822556752	5.096165669
DTX3L	1.796245961	1.833464691	2.442506776	1.17698608	0.945158735	1.881181506	2.037957802	0.241656119	1.780284082	20.41175498	16.85632058	0.734046268	1.4360608	1.570992206	1.405802643
APOL2	0.137516586	1.462761152	0.548512429	0.825984778	0.578873965	1.232163087	0.572078855	0	0.33316453	3.055904535	3.507075492	1.69995761	0.853664291	1.190689443	1.014751096
HIST2H3C	4.918377033	5.471025072	4.61598382	0.695104098	1.82680878	1.110987629	3.911623715	1.712606409	2.453265867	39.37890992	43.56776874	2.926211618	2.693991296	2.783388365	3.913981581
TNFSF10	0	0.326087587	0.550249727	2.320082553	1.161414853	6.356909345	6.886689536	0.136101172	0	1.724390703	1.842857981	0.310062158	0.713640078	3.317946395	4.071860429
SLFN5	0.268432787	1.639161821	1.739884087	0	0.094163642	0.515397006	0.279174908	0.088277032	0.433558772	5.219492936	4.455217388	0.050277611	0.138862937	0.645619264	0.825332155
HLA-A	3.005473198	4.596872358	5.112500161	3.610437375	3.162873356	6.110021998	4.964420084	1.046522588	2.99823489	45.9166571	29.62877948	5.563041423	5.304478803	8.844396269	7.392580307
CASP16P	0.139437656	2.307193053	2.363743752	0.837523564	0.440220509	2.320269855	3.770459181	0.137566755	0.168909375	3.485919041	3.048058627	0.156700506	0.432794876	1.74391108	2.22934161
HLA-H	1.311426422	0.516652459	0.871814462	1.575400164	0.460035788	3.916839596	1.818542637	0	1.059074107	10.32134545	9.024898646	0	2.713655466	1.682223041	3.225723374
CTSS	0.453271321	1.205359474	2.259954235	0.272254585	0	0.87029116	0.707115443	0.223594782	0.549075318	8.18401302	5.77987276	0.509387831	0.11724087	0.763127671	0.975549894
MUC5B	0.412180051	2.892453706	5.343203553	0.092840014	0	0.263798331	0.214337319	0.152493613	0.374474209	5.009100427	4.223490204	0.028950583	0	0.446108401	0.158412769
IFITM2	2.173528519	7.339612378	4.954030593	2.611032633	0.98029661	8.346447563	10.01082382	0.612675786	0.376132606	9.056310734	10.55835041	1.744727601	4.49755125	13.14379843	11.45623078
ERVH48-1	0.505743617	1.992438758	2.185364613	0.202514494	0.177410001	1.726291825	1.402619796	0	0.204212741	2.341390614	1.637833989	0.568356373	0.523252356	1.621847689	0.829320389
FGL1	1.161121566	17.49700445	17.36762164	4.358877562	3.360309879	42.17243072	35.02002979	0	1.230720471	10.68386255	8.813094888	3.26218078	4.805277416	43.8448172	33.9152093
CFH	2.294070432	16.82415776	22.69992927	0.35331258	0.619029126	2.710564292	2.630579417	0.290165358	1.567611717	16.42112532	12.35830703	0.132209438	0.426011147	4.470644561	3.255426167
GGTLC4P	0	1.705575587	0	0	0	0	0	0	0.874055137	6.012860354	9.638924352	0	0	0.694170351	0.887397796
PCK2	0.228745661	0.540702884	1.368596778	0.274789302	0.601813348	1.024792599	2.141096272	0.225676471	0.277093631	4.765504028	4.166917101	0.899727993	1.18332394	4.291295158	4.219852969
TTLL6	0.375991985	4.221609105	4.030495584	0	0	0.120318849	0.195519201	0.09273678	0.227731062	3.263798374	2.168917003	0	0	0.271294357	0.346811146
PARP14	1.095625238	1.456767943	2.185060278	0.603240412	0.768669611	1.343982747	1.281903614	0.405346767	0.884798644	10.14461305	10.25635989	0.769542074	0.850166667	1.361486661	1.010593469
APOL1	0.816893071	0.965475013	0.95034961	0.490661716	0.28655824	2.788361107	1.699166863	0.671610356	0.164925436	5.483737756	9.755211976	0.765022645	1.12689832	3.012608583	2.344202872
OR13E1P	0.519639681	7.369862408	10.36343439	0	0	3.990879637	7.566084116	0	0.629471378	4.330302901	6.310634756	0	0	6.998923629	11.50344735
SP100	0.493612397	0.942405531	1.325202202	0.41051797	0.279711092	0.777638511	0.710814098	0.074921441	0.459956103	4.166146282	3.504507835	0.426710206	0.54998586	0.986296248	0.793861651
SAMHD1	1.426482095	1.236356103	1.801772962	1.485133091	0.700554697	0.365183706	0.791235701	0.375291281	0.921592078	10.3023046	9.123739864	0.534361788	2.656559896	0.731923959	0.584787749
B2M	2.675261083	4.64978728	4.158479101	3.686369115	2.815367645	5.438712306	5.319140148	1.242054508	3.907912144	40.54393362	33.54015833	5.128679649	5.372939776	7.645564204	8.999603986
HIST1H2AC	2.585113955	7.468539622	4.86919876	1.725258373	1.209110847	7.720964383	7.766965075	1.416904583	3.131506893	38.69667363	28.95249612	0.968386579	2.080252272	11.32979235	7.065133528
SMOC1	0.548303715	1.684885382	2.515071981	0.526936318	0.461615219	3.789919802	4.219818094	0	0.531355103	4.112251485	3.329368989	0.862659777	0.567285876	5.591495308	3.641397958
GPCPD1	3.118942677	7.297244083	8.695674581	0.688177991	0.937795818	8.14753781	7.480499153	0.376787062	1.465003269	12.99551112	12.5226737	1.072983136	0.921977093	10.71643348	8.76763641
INHBC	0.721547871	0.284262598	0.239836509	0	0.50622412	1.84718425	1.750986334	0.47457768	0	3.674525772	4.965506484	0.270292639	0	2.082511054	1.774795591
C4BPA	0.588825628	1.623825344	3.327252573	0	0	1.256176098	0.612389204	0	0.713280554	5.452054179	4.528869302	0.661724217	0	1.3217959	0.965558601
CALCOCO1	0.215377742	1.59095048	1.932923771	0.582143823	0.113328663	2.06765061	1.847972862	0.053121979	0.065225063	0.972184959	0.915460479	0.484084457	0.167125556	2.641872868	1.589297738
HCG4P5	268.7442467	373.5090304	360.3605133	351.8192743	316.8381826	544.7128709	508.3165472	154.2277095	297.4921036	2994.069399	3307.643264	364.9130283	343.9410277	510.596198	560.1562302
CACNG6	0.258557899	1.527930639	4.89872217	0	0.272098879	0	0.537809695	0	0.626414043	5.027482447	3.767990445	0	0.26750912	1.492484986	1.271952804
SLC7A2	0.181824587	0.644688154	0.785680737	1.893004557	1.084299405	9.387107614	9.518075023	0.059794987	0.14683684	1.346840152	1.619290517	2.043350807	1.442248092	14.51882975	10.21186624
ASB13	0.478629157	1.319932622	2.068200543	1.724913666	0.671594037	1.225305037	0.995565799	0	0.193264273	1.772689211	1.16251853	0.358590035	2.145863197	1.995364127	1.765930478
CA9	0	6.781450239	7.724171727	0	0	3.305021879	5.370689991	0	0.347528509	2.390742081	2.787259998	0	0	6.900136426	10.23217482
H1F0	18.80457182	30.4384121	27.51571413	14.73241109	16.99306256	22.7619752	27.20986662	4.033100417	15.59875191	132.573652	119.8929067	20.44353304	23.26210914	28.3164643	20.11031182
BLZF1	2.257575956	2.816432148	3.001597856	1.958665056	1.847850556	3.692434275	3.130559262	0.371214164	0.455790009	6.619393213	5.33099957	2.537071434	2.854784494	3.016551788	2.313738755
MDK	1.090864723	1.289278449	1.305339687	4.717591749	2.295989177	4.747499047	5.218786748	0.215245614	1.057145011	10.30254518	6.888822239	3.677752307	3.611616746	7.766109832	4.829771609
PARP12	0.228691067	0.360382558	1.064210112	1.09889488	0.722003661	0.878184016	0.475685616	0.300830147	0.738739998	6.670113347	7.313508582	1.285018944	1.183041524	0.440027793	0.656264909
MIR219A2	0.955667127	2.635477171	0.635311603	0.765353981	0.67047769	1.223268293	0	0.314281495	0	2.212178233	3.481758458	1.073981924	0	0.919406476	1.175330059
HCG4P7	4.913926013	4.646162831	3.92003549	3.541822728	3.619891859	8.176868946	4.088456882	0.969598705	5.357285638	42.99657681	38.7893683	1.104457308	3.558831579	7.563964935	10.27379109
HIST2H2AA3	7.854226005	11.34565035	9.572491036	15.72530583	6.428769695	13.40470319	15.42945647	1.721964914	5.285725053	52.11875799	41.33293343	8.826605536	10.83485024	7.556214971	2.146565159
TM4SF20	2.259122678	22.18176215	29.97878066	0.417516281	0	2.224393076	1.80732928	0	1.894578708	11.34381247	11.39622355	0.390586099	0.359589698	1.839035272	2.350944323
USP30	0.746419141	2.095184188	2.139892791	0.560414989	0.589132491	1.074856191	1.261470082	0.27615153	0.339068711	4.535503883	3.852498117	0.52426771	0.675727515	1.974769326	1.262230477
AHCYL2	0.209583459	0.577975746	0.975293169	0.167846659	0.22055959	0.357693305	0.363284254	0.27569517	0.592389658	6.889041716	4.411739177	0.549571386	0.072279731	0.537683422	0.601432627
PSMB8	1.433024286	1.97595098	2.143464072	0	0	0	0	0.471265572	2.314546803	18.57612158	15.95275616	0	0	0	0
VPS37B	0.643853904	0.856082623	1.284070083	1.160180467	0.254089983	1.133196184	0.920726946	0.238205629	0.682447216	5.141855833	6.450776855	0.63311953	1.332287985	1.006564501	0.890826344
TRIM56	0.814736234	1.31768804	1.411070683	0.618146811	0.541518901	0.768433938	0.981130853	0.084611003	0.36360944	2.680036209	2.86415724	0.530086129	0.887307614	1.155107417	0.896531488
ANXA10	0	0	0	12.38758363	11.68673696	8.122717496	9.34963753	0	0.320293935	2.203388121	2.247728296	18.4228599	15.59303571	7.8856526	10.08068224
SNTB1	0.568083932	1.426747979	1.416197793	0.511824094	0.822023337	3.453990884	3.471052627	0.14011542	0.430096792	3.451876751	3.708187721	0.399009143	0.58775088	3.005910921	2.095979142
LCAT	0.91258626	1.941432326	1.820016478	0.657767078	0.960379473	3.97162206	3.416781823	0.180068331	0.221094328	2.027956457	3.54645653	0.6153405	1.699523652	2.107104518	2.469163238
C4A-AS1	0	1.892008432	2.736540288	0.27472372	0.722003661	1.463640026	1.189214039	1.353735662	1.939192494	17.46934448	24.99553566	0.514007578	0.236608305	1.540097276	0.562512779
IGFBP3	5.974435314	26.01459854	29.05615893	10.19891526	6.287323501	27.10119548	33.13877215	1.44771629	5.3326733	42.07116789	38.05957489	10.36561333	9.976785093	36.50324633	31.83993386
CD55	1.720933141	4.576382772	5.92044692	1.447134825	0.996083236	2.973807402	2.416231758	0.509352768	1.980438148	16.01413622	13.1666498	2.224089003	2.937843956	3.228490556	2.645618428
CCDC68	1.202394058	1.421093482	2.213533554	0.333327911	0.292007272	0.473563839	0.865738638	0.091250843	0.336123134	2.569201593	2.695786214	0.415770608	0.669857295	1.24575436	1.137513777
DNAJC12	0.451775376	3.203683706	3.829242589	0.542712111	0.475435383	1.734837824	1.409563458	0.222856845	0.273631594	3.764770651	3.017560476	1.015413367	0.701123619	4.346337702	1.389043225
CCPG1	1.080044604	2.361507046	2.046287687	0.713594243	0.227321561	1.728091667	1.909551759	0.15983297	0.392497257	3.600125586	3.14791988	0.424815212	0.502845986	2.389848874	2.125273711
TRIM5	1.097041143	2.003802792	1.690637704	1.317861808	1.469356604	1.404229159	2.593051012	0.393571498	0.604051427	7.895321214	4.60240215	1.905326799	1.960489919	3.645983827	2.45308966
LINC01484	2.042377775	10.25890083	13.06823554	0.817827628	0.895558123	11.98209037	14.86876637	0.671658073	1.030857213	8.509852806	12.40157423	1.147615498	1.584813352	13.42670952	16.11753978
TBPL1	1.426199007	5.618685205	4.266510149	13.82041861	13.70813526	114.1581128	107.9822396	0.750433608	0.806233037	10.30026009	9.352864156	12.07417979	10.72250237	100.8025169	86.0636738
TRIP4	2.598032653	1.083734153	3.047874484	1.285111117	1.125803688	0.978094372	1.748353272	0	0.370253659	2.759330706	1.670355573	2.060949044	1.42304612	2.499456117	1.315669842
VN1R48P	0.462459253	4.372595328	7.839598003	0.555546519	0.486678787	7.103457579	7.214488646	0.912508434	0.560205223	7.707604778	11.79406469	0	0	4.894034986	3.981298218
OGFR	1.324628078	1.565560237	1.727312533	1.713663698	1.394000405	0.912985155	1.377636936	0.100527301	0.740586062	5.943805811	3.588552788	1.603130823	1.897596591	1.568452959	0.62657607
STEAP2	0.439800607	1.039588929	2.357250257	0.264163485	0.289270926	1.688854171	1.600901791	0	0.399568063	2.214259686	2.136419597	0.185343524	0.170634905	1.37511841	1.487447734
ING4	1.225787465	3.725336151	3.492356179	0.210360451	1.474266735	4.258785909	5.281483842	0	0.636373477	2.918522862	4.040559198	1.377544066	0.905874266	5.727920267	3.015076721
MRGBP	2.067347514	2.239756219	2.576884171	2.48347872	1.450411286	1.102598294	2.329251662	0	0.834768228	4.785495955	4.184397875	3.097722763	3.208377984	3.480586616	1.483144536
FKBP7	1.555544761	1.470782065	2.016495529	0.373731294	0.327402093	0.398224137	0.808897212	0	0.565297998	3.888836956	2.266911134	0.524437926	0.16093974	1.047566166	0.956545676
NELFE	8.105538128	9.371570163	8.258349868	9.525405921	8.53003467	7.217537871	5.68102286	8.170625353	10.03218562	106.2131939	104.4274277	9.90112059	10.93845675	12.2055521	8.01823797
HLA-E	2.093580243	2.664711035	4.817690676	3.869218106	1.016872383	2.267535086	2.512339576	0.635535286	2.536081997	18.78842012	15.05940181	2.895720001	2.499299488	5.267761294	2.574795889
BCRP1	2.773416997	5.736262901	8.296746605	3.331671163	2.188998075	2.662511596	2.884403372	3.420255925	4.199512379	44.29734844	42.94336722	1.558387663	1.434716059	6.670464736	2.558171359
VAMP1	1.472118897	2.372560454	2.001763933	0.160767093	0.281675544	0.856515602	1.113476385	0.792200059	0.648461018	8.178385852	8.613840167	0.150397469	0.55384849	0.901258043	0.987539893
SLC47A1P1	2.992086097	2.210191628	5.967267139	0.898588905	1.574392578	11.96848499	11.66933683	0.737984963	0.453062147	7.791840896	6.813120896	1.681258197	1.547835748	6.116935929	5.97971723
